,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp
2347,12,20,81221,2164113.65,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",Bundesministerium für Digitales und Verkehr,812211220,Bundesministerium für Digitales und Verkehr zweinullachteinszweizweieins ,"Bundesministerium für Digitales und Verkehr zweinullachteinszweizweieins  Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)"
2348,8,13,28601,2157629.3,Einnahmen aus Vereinbarungen von EU-Mitgliedstaaten mit Tabakkonzernen,Bundesministerium der Finanzen,286010813,Bundesministerium der Finanzen einsdreizweiachtsechsnulleins ,Bundesministerium der Finanzen einsdreizweiachtsechsnulleins  Einnahmen aus Vereinbarungen von EU-Mitgliedstaaten mit Tabakkonzernen
2349,12,1,51721,2153561.52,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesministerium für Digitales und Verkehr,517211201,Bundesministerium für Digitales und Verkehr nulleinsfünfeinssiebenzweieins ,"Bundesministerium für Digitales und Verkehr nulleinsfünfeinssiebenzweieins  Bewirtschaftung der Grundstücke, Gebäude und Räume"
2350,6,24,71101,2146804.25,"Kleine Neu-, Um- und Erweiterungsbauten",Bundesministerium des Innern und für Heimat,711010624,Bundesministerium des Innern und für Heimat zweiviersiebeneinseinsnulleins ,"Bundesministerium des Innern und für Heimat zweiviersiebeneinseinsnulleins  Kleine Neu-, Um- und Erweiterungsbauten"
2351,3,12,51901,2144382.81,Unterhaltung der Grundstücke und baulichen Anlagen,Bundesrat,519010312,Bundesrat einszweifünfeinsneunnulleins ,Bundesrat einszweifünfeinsneunnulleins  Unterhaltung der Grundstücke und baulichen Anlagen
2352,12,3,78004,2142321.04,Aus- und Neubau von Betriebswegen an Bundeswasserstraßen,Bundesministerium für Digitales und Verkehr,780041203,Bundesministerium für Digitales und Verkehr nulldreisiebenachtnullnullvier ,Bundesministerium für Digitales und Verkehr nulldreisiebenachtnullnullvier  Aus- und Neubau von Betriebswegen an Bundeswasserstraßen
2354,5,12,81121,2136577.13,Erwerb von Fahrzeugen,Auswärtiges Amt,811210512,Auswärtiges Amt einszweiachteinseinszweieins ,Auswärtiges Amt einszweiachteinseinszweieins  Erwerb von Fahrzeugen
2356,12,18,51801,2116396.08,Mieten und Pachten,Bundesministerium für Digitales und Verkehr,518011218,Bundesministerium für Digitales und Verkehr einsachtfünfeinsachtnulleins ,Bundesministerium für Digitales und Verkehr einsachtfünfeinsachtnulleins  Mieten und Pachten
2358,25,1,98103,2111233.72,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",981032501,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinsneunachteinsnulldrei ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinsneunachteinsnulldrei  Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7"
2359,16,14,81202,2109459.43,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",812021614,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsvierachteinszweinullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsvierachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
2360,2,12,81201,2109361.04,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",Deutscher Bundestag,812010212,Deutscher Bundestag einszweiachteinszweinulleins ,"Deutscher Bundestag einszweiachteinszweinulleins  Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)"
2361,15,11,42401,2102691.24,Zuführung an die Versorgungsrücklage,Bundesministerium für Gesundheit,424011511,Bundesministerium für Gesundheit einseinsvierzweiviernulleins ,Bundesministerium für Gesundheit einseinsvierzweiviernulleins  Zuführung an die Versorgungsrücklage
2363,15,15,42719,2098459.46,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium für Gesundheit,427191515,Bundesministerium für Gesundheit einsfünfvierzweisiebeneinsneun ,"Bundesministerium für Gesundheit einsfünfvierzweisiebeneinsneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
2364,5,11,53202,2097675.76,Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),Auswärtiges Amt,532020511,Auswärtiges Amt einseinsfünfdreizweinullzwei ,Auswärtiges Amt einseinsfünfdreizweinullzwei  Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT)
2365,12,4,11999,2093732.1,Vermischte Einnahmen,Bundesministerium für Digitales und Verkehr,119991204,Bundesministerium für Digitales und Verkehr nullviereinseinsneunneunneun ,Bundesministerium für Digitales und Verkehr nullviereinseinsneunneunneun  Vermischte Einnahmen
2366,25,2,53284,2092981.38,Modellvorhaben der Raumordnung (Raumordnerisches Aktionsprogramm),"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",532842502,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nullzweifünfdreizweiachtvier ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nullzweifünfdreizweiachtvier  Modellvorhaben der Raumordnung (Raumordnerisches Aktionsprogramm)"
2367,12,28,11999,2089739.52,Vermischte Einnahmen,Bundesministerium für Digitales und Verkehr,119991228,Bundesministerium für Digitales und Verkehr zweiachteinseinsneunneunneun ,Bundesministerium für Digitales und Verkehr zweiachteinseinsneunneunneun  Vermischte Einnahmen
2368,4,52,68325,2084921.37,Förderung der kulturellen Vielfalt unabhängiger Verlage,Bundeskanzler und Bundeskanzleramt,683250452,Bundeskanzler und Bundeskanzleramt fünfzweisechsachtdreizweifünf ,Bundeskanzler und Bundeskanzleramt fünfzweisechsachtdreizweifünf  Förderung der kulturellen Vielfalt unabhängiger Verlage
2369,17,3,89321,2083000.0,Zuschüsse für überregionale Maßnahmen und Modelleinrichtungen,"Bundesministerium für Familie, Senioren, Frauen und Jugend",893211703,"Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreiachtneundreizweieins ","Bundesministerium für Familie, Senioren, Frauen und Jugend nulldreiachtneundreizweieins  Zuschüsse für überregionale Maßnahmen und Modelleinrichtungen"
2370,6,25,38103,2070890.27,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,Bundesministerium des Innern und für Heimat,381030625,Bundesministerium des Innern und für Heimat zweifünfdreiachteinsnulldrei ,Bundesministerium des Innern und für Heimat zweifünfdreiachteinsnulldrei  Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7
2371,30,4,38103,2067201.45,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,Bundesministerium für Bildung und Forschung,381033004,Bundesministerium für Bildung und Forschung nullvierdreiachteinsnulldrei ,Bundesministerium für Bildung und Forschung nullvierdreiachteinsnulldrei  Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7
2372,16,12,51101,2066901.02,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",511011612,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einszweifünfeinseinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einszweifünfeinseinsnulleins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung"
2373,9,10,27201,2065897.09,Einnahmen aus Zuschüssen der Europäischen Union zu besonderen Maßnahmen,Bundesministerium für Wirtschaft und Klimaschutz,272010910,Bundesministerium für Wirtschaft und Klimaschutz einsnullzweisiebenzweinulleins ,Bundesministerium für Wirtschaft und Klimaschutz einsnullzweisiebenzweinulleins  Einnahmen aus Zuschüssen der Europäischen Union zu besonderen Maßnahmen
2375,16,15,51802,2058751.66,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",518021615,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsfünffünfeinsachtnullzwei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsfünffünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement"
2376,6,11,44357,2055813.0,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,Bundesministerium des Innern und für Heimat,443570611,Bundesministerium des Innern und für Heimat einseinsviervierdreifünfsieben ,Bundesministerium des Innern und für Heimat einseinsviervierdreifünfsieben  Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften
2378,9,11,63257,2053042.64,Erstattungen des Bundes für Versorgungslasten,Bundesministerium für Wirtschaft und Klimaschutz,632570911,Bundesministerium für Wirtschaft und Klimaschutz einseinssechsdreizweifünfsieben ,Bundesministerium für Wirtschaft und Klimaschutz einseinssechsdreizweifünfsieben  Erstattungen des Bundes für Versorgungslasten
2379,12,1,68201,2049105.0,Beitrag an nichtbundeseigene Eisenbahnen zu den Kosten für Unterhaltung und Betrieb höhengleicher Kreuzungen von Bundesstraßen und Eisenbahnstrecken,Bundesministerium für Digitales und Verkehr,682011201,Bundesministerium für Digitales und Verkehr nulleinssechsachtzweinulleins ,Bundesministerium für Digitales und Verkehr nulleinssechsachtzweinulleins  Beitrag an nichtbundeseigene Eisenbahnen zu den Kosten für Unterhaltung und Betrieb höhengleicher Kreuzungen von Bundesstraßen und Eisenbahnstrecken
2380,16,15,52604,2048509.72,Kosten für Sachverständigengutachten und für Öffentlichkeitsbeteiligungen bei Genehmigungsverfahren,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",526041615,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsfünffünfzweisechsnullvier ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsfünffünfzweisechsnullvier  Kosten für Sachverständigengutachten und für Öffentlichkeitsbeteiligungen bei Genehmigungsverfahren"
2383,11,12,52701,2031212.21,Dienstreisen,Bundesministerium für Arbeit und Soziales,527011112,Bundesministerium für Arbeit und Soziales einszweifünfzweisiebennulleins ,Bundesministerium für Arbeit und Soziales einszweifünfzweisiebennulleins  Dienstreisen
2384,20,12,52701,2030207.06,Dienstreisen,Bundesrechnungshof,527012012,Bundesrechnungshof einszweifünfzweisiebennulleins ,Bundesrechnungshof einszweifünfzweisiebennulleins  Dienstreisen
2386,6,3,68502,2027165.94,"Unterstützung von Maßnahmen der Vertriebenen zur Förderung des friedlichen Miteinanders mit den Völkern Ostmittel-, Ost- und Südosteuropas",Bundesministerium des Innern und für Heimat,685020603,Bundesministerium des Innern und für Heimat nulldreisechsachtfünfnullzwei ,"Bundesministerium des Innern und für Heimat nulldreisechsachtfünfnullzwei  Unterstützung von Maßnahmen der Vertriebenen zur Förderung des friedlichen Miteinanders mit den Völkern Ostmittel-, Ost- und Südosteuropas"
2387,8,11,45202,2025630.79,Unfallversicherung Bund und Bahn,Bundesministerium der Finanzen,452020811,Bundesministerium der Finanzen einseinsvierfünfzweinullzwei ,Bundesministerium der Finanzen einseinsvierfünfzweinullzwei  Unfallversicherung Bund und Bahn
2388,15,16,11999,2024154.8,Vermischte Einnahmen,Bundesministerium für Gesundheit,119991516,Bundesministerium für Gesundheit einssechseinseinsneunneunneun ,Bundesministerium für Gesundheit einssechseinseinsneunneunneun  Vermischte Einnahmen
2389,14,13,51181,2023926.4,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",Bundesministerium der Verteidigung,511811413,Bundesministerium der Verteidigung einsdreifünfeinseinsachteins ,"Bundesministerium der Verteidigung einsdreifünfeinseinsachteins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung"
2390,10,5,89331,2017078.31,"Förderung von Innovationen im Bereich Ernährung, Landwirtschaft und gesundheitlicher Verbraucherschutz",Bundesministerium für Ernährung und Landwirtschaft,893311005,Bundesministerium für Ernährung und Landwirtschaft nullfünfachtneundreidreieins ,"Bundesministerium für Ernährung und Landwirtschaft nullfünfachtneundreidreieins  Förderung von Innovationen im Bereich Ernährung, Landwirtschaft und gesundheitlicher Verbraucherschutz"
2391,9,16,81202,2016718.6,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium für Wirtschaft und Klimaschutz,812020916,Bundesministerium für Wirtschaft und Klimaschutz einssechsachteinszweinullzwei ,"Bundesministerium für Wirtschaft und Klimaschutz einssechsachteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
2393,10,18,51802,2015097.54,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium für Ernährung und Landwirtschaft,518021018,Bundesministerium für Ernährung und Landwirtschaft einsachtfünfeinsachtnullzwei ,Bundesministerium für Ernährung und Landwirtschaft einsachtfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement
2395,10,6,68701,2009483.52,Maßnahmen zur Verstärkung der Außenhandelsbeziehungen im Agrar- und Ernährungsbereich,Bundesministerium für Ernährung und Landwirtschaft,687011006,Bundesministerium für Ernährung und Landwirtschaft nullsechssechsachtsiebennulleins ,Bundesministerium für Ernährung und Landwirtschaft nullsechssechsachtsiebennulleins  Maßnahmen zur Verstärkung der Außenhandelsbeziehungen im Agrar- und Ernährungsbereich
2396,4,51,44101,2000313.02,Beihilfen aufgrund der Beihilfevorschriften,Bundeskanzler und Bundeskanzleramt,441010451,Bundeskanzler und Bundeskanzleramt fünfeinsvierviereinsnulleins ,Bundeskanzler und Bundeskanzleramt fünfeinsvierviereinsnulleins  Beihilfen aufgrund der Beihilfevorschriften
2397,4,31,44657,2000122.23,Beihilfen aufgrund der Beihilfevorschriften,Bundeskanzler und Bundeskanzleramt,446570431,Bundeskanzler und Bundeskanzleramt dreieinsvierviersechsfünfsieben ,Bundeskanzler und Bundeskanzleramt dreieinsvierviersechsfünfsieben  Beihilfen aufgrund der Beihilfevorschriften
2398,5,2,68716,2000000.0,German Marshall Fund,Auswärtiges Amt,687160502,Auswärtiges Amt nullzweisechsachtsiebeneinssechs ,Auswärtiges Amt nullzweisechsachtsiebeneinssechs  German Marshall Fund
2399,4,52,89423,2000000.0,Bauvorhaben Kronberg Academy,Bundeskanzler und Bundeskanzleramt,894230452,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierzweidrei ,Bundeskanzler und Bundeskanzleramt fünfzweiachtneunvierzweidrei  Bauvorhaben Kronberg Academy
2400,9,3,53142,1999991.6,Maßnahmen zur Klimaneutralisierung von Dienstreisen und Dienstfahrten sowie Veranstaltungen der Bundesregierung und der Bundesverwaltung,Bundesministerium für Wirtschaft und Klimaschutz,531420903,Bundesministerium für Wirtschaft und Klimaschutz nulldreifünfdreieinsvierzwei ,Bundesministerium für Wirtschaft und Klimaschutz nulldreifünfdreieinsvierzwei  Maßnahmen zur Klimaneutralisierung von Dienstreisen und Dienstfahrten sowie Veranstaltungen der Bundesregierung und der Bundesverwaltung
2401,16,1,68603,1999756.68,Förderung der Entwicklung digitaler Lösungen für den Umweltschutz,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",686031601,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinssechsachtsechsnulldrei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleinssechsachtsechsnulldrei  Förderung der Entwicklung digitaler Lösungen für den Umweltschutz"
2402,2,13,42201,1998017.19,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Deutscher Bundestag,422010213,Deutscher Bundestag einsdreivierzweizweinulleins ,Deutscher Bundestag einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
2403,5,12,81131,1997461.13,Erwerb von Fahrzeugen,Auswärtiges Amt,811310512,Auswärtiges Amt einszweiachteinseinsdreieins ,Auswärtiges Amt einszweiachteinseinsdreieins  Erwerb von Fahrzeugen
2405,19,12,51101,1995783.08,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",Bundesverfassungsgericht,511011912,Bundesverfassungsgericht einszweifünfeinseinsnulleins ,"Bundesverfassungsgericht einszweifünfeinseinsnulleins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung"
2406,16,16,11101,1995515.59,"Gebühren, sonstige Entgelte","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",111011616,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einssechseinseinseinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einssechseinseinseinsnulleins  Gebühren, sonstige Entgelte"
2407,2,12,53206,1994897.43,Ausgaben zur Förderung der zwischenstaatlichen Zusammenarbeit,Deutscher Bundestag,532060212,Deutscher Bundestag einszweifünfdreizweinullsechs ,Deutscher Bundestag einszweifünfdreizweinullsechs  Ausgaben zur Förderung der zwischenstaatlichen Zusammenarbeit
2408,2,11,52602,1991256.33,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",Deutscher Bundestag,526020211,Deutscher Bundestag einseinsfünfzweisechsnullzwei ,"Deutscher Bundestag einseinsfünfzweisechsnullzwei  Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen"
2409,5,2,53214,1990399.78,Kosten von Staatsbesuchen in der Bundesrepublik Deutschland,Auswärtiges Amt,532140502,Auswärtiges Amt nullzweifünfdreizweieinsvier ,Auswärtiges Amt nullzweifünfdreizweieinsvier  Kosten von Staatsbesuchen in der Bundesrepublik Deutschland
2410,20,11,42401,1989993.82,Zuführung an die Versorgungsrücklage,Bundesrechnungshof,424012011,Bundesrechnungshof einseinsvierzweiviernulleins ,Bundesrechnungshof einseinsvierzweiviernulleins  Zuführung an die Versorgungsrücklage
2411,8,1,68132,1988108.18,Anerkennungsleistung für Arbeit im Ghetto ohne Zwang,Bundesministerium der Finanzen,681320801,Bundesministerium der Finanzen nulleinssechsachteinsdreizwei ,Bundesministerium der Finanzen nulleinssechsachteinsdreizwei  Anerkennungsleistung für Arbeit im Ghetto ohne Zwang
2413,6,2,53251,1985216.35,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium des Innern und für Heimat,532510602,Bundesministerium des Innern und für Heimat nullzweifünfdreizweifünfeins ,Bundesministerium des Innern und für Heimat nullzweifünfdreizweifünfeins  Aufträge und Dienstleistungen im Bereich Informationstechnik
2415,6,24,38103,1971566.24,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,Bundesministerium des Innern und für Heimat,381030624,Bundesministerium des Innern und für Heimat zweivierdreiachteinsnulldrei ,Bundesministerium des Innern und für Heimat zweivierdreiachteinsnulldrei  Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7
2416,12,19,42231,1968095.79,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Digitales und Verkehr,422311219,Bundesministerium für Digitales und Verkehr einsneunvierzweizweidreieins ,Bundesministerium für Digitales und Verkehr einsneunvierzweizweidreieins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
2417,2,11,42401,1962284.96,Zuführung an die Versorgungsrücklage,Deutscher Bundestag,424010211,Deutscher Bundestag einseinsvierzweiviernulleins ,Deutscher Bundestag einseinsvierzweiviernulleins  Zuführung an die Versorgungsrücklage
2418,17,15,42201,1958616.82,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,"Bundesministerium für Familie, Senioren, Frauen und Jugend",422011715,"Bundesministerium für Familie, Senioren, Frauen und Jugend einsfünfvierzweizweinulleins ","Bundesministerium für Familie, Senioren, Frauen und Jugend einsfünfvierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten"
2420,15,2,53111,1946274.96,Pflegenetzwerk und Informationsmaßnahmen,Bundesministerium für Gesundheit,531111502,Bundesministerium für Gesundheit nullzweifünfdreieinseinseins ,Bundesministerium für Gesundheit nullzweifünfdreieinseinseins  Pflegenetzwerk und Informationsmaßnahmen
2421,12,6,54401,1940480.84,"Forschung, Untersuchungen und Ähnliches",Bundesministerium für Digitales und Verkehr,544011206,Bundesministerium für Digitales und Verkehr nullsechsfünfvierviernulleins ,"Bundesministerium für Digitales und Verkehr nullsechsfünfvierviernulleins  Forschung, Untersuchungen und Ähnliches"
2423,12,22,42801,1935126.59,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Digitales und Verkehr,428011222,Bundesministerium für Digitales und Verkehr zweizweivierzweiachtnulleins ,Bundesministerium für Digitales und Verkehr zweizweivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
2424,15,13,42201,1932214.09,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Gesundheit,422011513,Bundesministerium für Gesundheit einsdreivierzweizweinulleins ,Bundesministerium für Gesundheit einsdreivierzweizweinulleins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
2425,7,17,42801,1926381.35,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium der Justiz,428010717,Bundesministerium der Justiz einssiebenvierzweiachtnulleins ,Bundesministerium der Justiz einssiebenvierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
2426,14,3,11953,1925342.69,Vermischte Einnahmen,Bundesministerium der Verteidigung,119531403,Bundesministerium der Verteidigung nulldreieinseinsneunfünfdrei ,Bundesministerium der Verteidigung nulldreieinseinsneunfünfdrei  Vermischte Einnahmen
2429,8,11,54301,1919803.91,Veröffentlichungen und Fachinformationen,Bundesministerium der Finanzen,543010811,Bundesministerium der Finanzen einseinsfünfvierdreinulleins ,Bundesministerium der Finanzen einseinsfünfvierdreinulleins  Veröffentlichungen und Fachinformationen
2431,25,1,68501,1917000.0,Bundesstiftung Baukultur,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",685012501,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinssechsachtfünfnulleins ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleinssechsachtfünfnulleins  Bundesstiftung Baukultur"
2432,20,11,43457,1911320.3,Zuführung an die Versorgungsrücklage,Bundesrechnungshof,434572011,Bundesrechnungshof einseinsvierdreivierfünfsieben ,Bundesrechnungshof einseinsvierdreivierfünfsieben  Zuführung an die Versorgungsrücklage
2433,12,4,38103,1910390.68,Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7,Bundesministerium für Digitales und Verkehr,381031204,Bundesministerium für Digitales und Verkehr nullvierdreiachteinsnulldrei ,Bundesministerium für Digitales und Verkehr nullvierdreiachteinsnulldrei  Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7
2435,6,1,27201,1904276.94,Zuschüsse der Europäischen Union zu den Kosten innenpolitischer Maßnahmen,Bundesministerium des Innern und für Heimat,272010601,Bundesministerium des Innern und für Heimat nulleinszweisiebenzweinulleins ,Bundesministerium des Innern und für Heimat nulleinszweisiebenzweinulleins  Zuschüsse der Europäischen Union zu den Kosten innenpolitischer Maßnahmen
2436,11,7,68404,1902664.88,Arbeitsweltberichterstattung,Bundesministerium für Arbeit und Soziales,684041107,Bundesministerium für Arbeit und Soziales nullsiebensechsachtviernullvier ,Bundesministerium für Arbeit und Soziales nullsiebensechsachtviernullvier  Arbeitsweltberichterstattung
2437,9,15,98103,1901841.01,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,Bundesministerium für Wirtschaft und Klimaschutz,981030915,Bundesministerium für Wirtschaft und Klimaschutz einsfünfneunachteinsnulldrei ,Bundesministerium für Wirtschaft und Klimaschutz einsfünfneunachteinsnulldrei  Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7
2438,6,23,98103,1900319.58,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,Bundesministerium des Innern und für Heimat,981030623,Bundesministerium des Innern und für Heimat zweidreineunachteinsnulldrei ,Bundesministerium des Innern und für Heimat zweidreineunachteinsnulldrei  Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7
2439,4,13,42801,1896014.04,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundeskanzler und Bundeskanzleramt,428010413,Bundeskanzler und Bundeskanzleramt einsdreivierzweiachtnulleins ,Bundeskanzler und Bundeskanzleramt einsdreivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
2441,2,13,42801,1885966.62,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Deutscher Bundestag,428010213,Deutscher Bundestag einsdreivierzweiachtnulleins ,Deutscher Bundestag einsdreivierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
2442,5,13,42709,1885495.12,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Auswärtiges Amt,427090513,Auswärtiges Amt einsdreivierzweisiebennullneun ,"Auswärtiges Amt einsdreivierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
2443,15,15,42709,1884706.17,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium für Gesundheit,427091515,Bundesministerium für Gesundheit einsfünfvierzweisiebennullneun ,"Bundesministerium für Gesundheit einsfünfvierzweisiebennullneun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
