,index,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp
3195,4977,25,14,53929,669370.82,Vermischte Verwaltungsausgaben,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251453929,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier fünfdreineunzweineun ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier fünfdreineunzweineun  Vermischte Verwaltungsausgaben"
3197,225,4,11,43157,668131.22,"Versorgungsbezüge der Bundeskanzler, Bundesministerinnen und Bundesminister, sonstiger Amtsträger und deren Hinterbliebenen",Bundeskanzler und Bundeskanzleramt,041143157,Bundeskanzler und Bundeskanzleramt einseins vierdreieinsfünfsieben ,"Bundeskanzler und Bundeskanzleramt einseins vierdreieinsfünfsieben  Versorgungsbezüge der Bundeskanzler, Bundesministerinnen und Bundesminister, sonstiger Amtsträger und deren Hinterbliebenen"
3199,3504,12,21,81202,665632.9,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium für Digitales und Verkehr,122181202,Bundesministerium für Digitales und Verkehr zweieins achteinszweinullzwei ,"Bundesministerium für Digitales und Verkehr zweieins achteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
3202,2769,11,13,52501,662789.34,Aus- und Fortbildung,Bundesministerium für Arbeit und Soziales,111352501,Bundesministerium für Arbeit und Soziales einsdrei fünfzweifünfnulleins ,Bundesministerium für Arbeit und Soziales einsdrei fünfzweifünfnulleins  Aus- und Fortbildung
3203,3430,12,20,67101,662730.98,Erstattung von anteiligen Bewirtschaftungskosten für das Bildungszentrum (BZ) Langen sowie für die Flugwetterwarte (FWW) Bremen an die DFS Deutsche Flugsicherung GmbH,Bundesministerium für Digitales und Verkehr,122067101,Bundesministerium für Digitales und Verkehr zweinull sechssiebeneinsnulleins ,Bundesministerium für Digitales und Verkehr zweinull sechssiebeneinsnulleins  Erstattung von anteiligen Bewirtschaftungskosten für das Bildungszentrum (BZ) Langen sowie für die Flugwetterwarte (FWW) Bremen an die DFS Deutsche Flugsicherung GmbH
3205,3440,12,20,68511,661349.07,Zuschüsse für Forschungsprogramme,Bundesministerium für Digitales und Verkehr,122068511,Bundesministerium für Digitales und Verkehr zweinull sechsachtfünfeinseins ,Bundesministerium für Digitales und Verkehr zweinull sechsachtfünfeinseins  Zuschüsse für Forschungsprogramme
3206,733,5,13,81201,660373.07,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",Auswärtiges Amt,051381201,Auswärtiges Amt einsdrei achteinszweinulleins ,"Auswärtiges Amt einsdrei achteinszweinulleins  Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)"
3207,2879,11,16,53201,658884.67,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Arbeit und Soziales,111653201,Bundesministerium für Arbeit und Soziales einssechs fünfdreizweinulleins ,Bundesministerium für Arbeit und Soziales einssechs fünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
3208,360,4,51,54301,657110.05,Veröffentlichungen und Fachinformationen,Bundeskanzler und Bundeskanzleramt,045154301,Bundeskanzler und Bundeskanzleramt fünfeins fünfvierdreinulleins ,Bundeskanzler und Bundeskanzleramt fünfeins fünfvierdreinulleins  Veröffentlichungen und Fachinformationen
3209,4409,16,16,52701,656665.13,Dienstreisen,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",161652701,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einssechs fünfzweisiebennulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einssechs fünfzweisiebennulleins  Dienstreisen"
3211,2378,10,12,45301,655900.38,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Bundesministerium für Ernährung und Landwirtschaft,101245301,Bundesministerium für Ernährung und Landwirtschaft einszwei vierfünfdreinulleins ,"Bundesministerium für Ernährung und Landwirtschaft einszwei vierfünfdreinulleins  Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen"
3212,890,6,11,68720,655503.76,Beiträge an verschiedene Organisationen,Bundesministerium des Innern und für Heimat,061168720,Bundesministerium des Innern und für Heimat einseins sechsachtsiebenzweinull ,Bundesministerium des Innern und für Heimat einseins sechsachtsiebenzweinull  Beiträge an verschiedene Organisationen
3214,287,4,15,54201,654476.62,Öffentlichkeitsarbeit,Bundeskanzler und Bundeskanzleramt,041554201,Bundeskanzler und Bundeskanzleramt einsfünf fünfvierzweinulleins ,Bundeskanzler und Bundeskanzleramt einsfünf fünfvierzweinulleins  Öffentlichkeitsarbeit
3215,206,3,12,51801,653798.16,Mieten und Pachten,Bundesrat,031251801,Bundesrat einszwei fünfeinsachtnulleins ,Bundesrat einszwei fünfeinsachtnulleins  Mieten und Pachten
3217,1440,7,11,52602,647616.32,"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen",Bundesministerium der Justiz,071152602,Bundesministerium der Justiz einseins fünfzweisechsnullzwei ,"Bundesministerium der Justiz einseins fünfzweisechsnullzwei  Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen"
3218,478,4,53,53207,646804.4,Maßnahmen zum Erhalt des Filmerbes,Bundeskanzler und Bundeskanzleramt,045353207,Bundeskanzler und Bundeskanzleramt fünfdrei fünfdreizweinullsieben ,Bundeskanzler und Bundeskanzleramt fünfdrei fünfdreizweinullsieben  Maßnahmen zum Erhalt des Filmerbes
3219,4953,25,14,42203,646470.25,Bezüge der Anwärterinnen und Anwärter sowie Nebenleistungen der Beamtinnen und Beamten auf Widerruf im Vorbereitungsdienst,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251442203,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier vierzweizweinulldrei ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier vierzweizweinulldrei  Bezüge der Anwärterinnen und Anwärter sowie Nebenleistungen der Beamtinnen und Beamten auf Widerruf im Vorbereitungsdienst"
3220,3432,12,20,68502,646383.69,Zuschüsse für Forschungsprogramme,Bundesministerium für Digitales und Verkehr,122068502,Bundesministerium für Digitales und Verkehr zweinull sechsachtfünfnullzwei ,Bundesministerium für Digitales und Verkehr zweinull sechsachtfünfnullzwei  Zuschüsse für Forschungsprogramme
3221,3092,12,10,68314,645626.13,Förderung des Erhalts und des sicheren Weiterbetriebs der Traditionsschifffahrt,Bundesministerium für Digitales und Verkehr,121068314,Bundesministerium für Digitales und Verkehr einsnull sechsachtdreieinsvier ,Bundesministerium für Digitales und Verkehr einsnull sechsachtdreieinsvier  Förderung des Erhalts und des sicheren Weiterbetriebs der Traditionsschifffahrt
3222,639,5,12,13221,644204.35,Erlöse aus der Veräußerung von beweglichen Sachen,Auswärtiges Amt,051213221,Auswärtiges Amt einszwei einsdreizweizweieins ,Auswärtiges Amt einszwei einsdreizweizweieins  Erlöse aus der Veräußerung von beweglichen Sachen
3224,1443,7,11,54501,642499.78,"Konferenzen, Tagungen, Messen und Ausstellungen",Bundesministerium der Justiz,071154501,Bundesministerium der Justiz einseins fünfvierfünfnulleins ,"Bundesministerium der Justiz einseins fünfvierfünfnulleins  Konferenzen, Tagungen, Messen und Ausstellungen"
3225,4709,21,12,53201,641004.3,Aufträge und Dienstleistungen im Bereich Informationstechnik,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,211253201,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit einszwei fünfdreizweinulleins ,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit einszwei fünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
3226,1266,6,28,42729,640944.18,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Bundesministerium des Innern und für Heimat,062842729,Bundesministerium des Innern und für Heimat zweiacht vierzweisiebenzweineun ,"Bundesministerium des Innern und für Heimat zweiacht vierzweisiebenzweineun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
3227,3044,12,5,98103,640024.16,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,Bundesministerium für Digitales und Verkehr,120598103,Bundesministerium für Digitales und Verkehr nullfünf neunachteinsnulldrei ,Bundesministerium für Digitales und Verkehr nullfünf neunachteinsnulldrei  Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7
3228,3412,12,19,52501,638673.5,Aus- und Fortbildung,Bundesministerium für Digitales und Verkehr,121952501,Bundesministerium für Digitales und Verkehr einsneun fünfzweifünfnulleins ,Bundesministerium für Digitales und Verkehr einsneun fünfzweifünfnulleins  Aus- und Fortbildung
3229,308,4,31,44101,638670.66,Beihilfen aufgrund der Beihilfevorschriften,Bundeskanzler und Bundeskanzleramt,043144101,Bundeskanzler und Bundeskanzleramt dreieins vierviereinsnulleins ,Bundeskanzler und Bundeskanzleramt dreieins vierviereinsnulleins  Beihilfen aufgrund der Beihilfevorschriften
3230,2570,10,18,51401,638477.11,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",Bundesministerium für Ernährung und Landwirtschaft,101851401,Bundesministerium für Ernährung und Landwirtschaft einsacht fünfeinsviernulleins ,"Bundesministerium für Ernährung und Landwirtschaft einsacht fünfeinsviernulleins  Verbrauchsmittel, Haltung von Fahrzeugen und dgl."
3231,2971,12,2,53214,635327.24,Ausgaben für die Überwachung und Bewertung des Netzzustandes,Bundesministerium für Digitales und Verkehr,120253214,Bundesministerium für Digitales und Verkehr nullzwei fünfdreizweieinsvier ,Bundesministerium für Digitales und Verkehr nullzwei fünfdreizweieinsvier  Ausgaben für die Überwachung und Bewertung des Netzzustandes
3234,947,6,14,11201,631466.65,"Geldstrafen, Geldbußen und Gerichtskosten",Bundesministerium des Innern und für Heimat,061411201,Bundesministerium des Innern und für Heimat einsvier einseinszweinulleins ,"Bundesministerium des Innern und für Heimat einsvier einseinszweinulleins  Geldstrafen, Geldbußen und Gerichtskosten"
3235,4624,19,12,45301,630664.44,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Bundesverfassungsgericht,191245301,Bundesverfassungsgericht einszwei vierfünfdreinulleins ,"Bundesverfassungsgericht einszwei vierfünfdreinulleins  Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen"
3236,2484,10,15,53201,630088.09,Aufträge und Dienstleistungen im Bereich Informationstechnik,Bundesministerium für Ernährung und Landwirtschaft,101553201,Bundesministerium für Ernährung und Landwirtschaft einsfünf fünfdreizweinulleins ,Bundesministerium für Ernährung und Landwirtschaft einsfünf fünfdreizweinulleins  Aufträge und Dienstleistungen im Bereich Informationstechnik
3237,195,3,12,41102,629979.65,"Fahrtkosten, Kostenpauschale, Reisekosten nach den Bestimmungen über die Kostenerstattung für Mitglieder des Bundesrates",Bundesrat,031241102,Bundesrat einszwei viereinseinsnullzwei ,"Bundesrat einszwei viereinseinsnullzwei  Fahrtkosten, Kostenpauschale, Reisekosten nach den Bestimmungen über die Kostenerstattung für Mitglieder des Bundesrates"
3239,3219,12,14,81211,629925.13,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)",Bundesministerium für Digitales und Verkehr,121481211,Bundesministerium für Digitales und Verkehr einsvier achteinszweieinseins ,"Bundesministerium für Digitales und Verkehr einsvier achteinszweieinseins  Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Verwaltungszwecke (ohne IT)"
3240,4596,19,11,54201,629769.24,Öffentlichkeitsarbeit,Bundesverfassungsgericht,191154201,Bundesverfassungsgericht einseins fünfvierzweinulleins ,Bundesverfassungsgericht einseins fünfvierzweinulleins  Öffentlichkeitsarbeit
3241,3127,12,11,23257,629735.44,Beteiligung an den Versorgungslasten des Bundes,Bundesministerium für Digitales und Verkehr,121123257,Bundesministerium für Digitales und Verkehr einseins zweidreizweifünfsieben ,Bundesministerium für Digitales und Verkehr einseins zweidreizweifünfsieben  Beteiligung an den Versorgungslasten des Bundes
3242,970,6,14,53909,627970.07,Vermischte Verwaltungsausgaben,Bundesministerium des Innern und für Heimat,061453909,Bundesministerium des Innern und für Heimat einsvier fünfdreineunnullneun ,Bundesministerium des Innern und für Heimat einsvier fünfdreineunnullneun  Vermischte Verwaltungsausgaben
3243,4203,16,1,89301,627653.86,"Zuschuss zur Erweiterung, Umbau und Modernisierung BUND-Umwelthaus Neustädter Bucht","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",160189301,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleins achtneundreinulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz nulleins achtneundreinulleins  Zuschuss zur Erweiterung, Umbau und Modernisierung BUND-Umwelthaus Neustädter Bucht"
3246,3088,12,10,98103,624536.39,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,Bundesministerium für Digitales und Verkehr,121098103,Bundesministerium für Digitales und Verkehr einsnull neunachteinsnulldrei ,Bundesministerium für Digitales und Verkehr einsnull neunachteinsnulldrei  Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7
3250,125,2,12,53205,621323.47,Ausgaben für das zeitgeschichtliche Archiv des Deutschen Bundestages,Deutscher Bundestag,021253205,Deutscher Bundestag einszwei fünfdreizweinullfünf ,Deutscher Bundestag einszwei fünfdreizweinullfünf  Ausgaben für das zeitgeschichtliche Archiv des Deutschen Bundestages
3251,4553,17,13,52701,620858.62,Dienstreisen,"Bundesministerium für Familie, Senioren, Frauen und Jugend",171352701,"Bundesministerium für Familie, Senioren, Frauen und Jugend einsdrei fünfzweisiebennulleins ","Bundesministerium für Familie, Senioren, Frauen und Jugend einsdrei fünfzweisiebennulleins  Dienstreisen"
3252,4911,25,11,44101,618236.66,Beihilfen aufgrund der Beihilfevorschriften,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251144101,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einseins vierviereinsnulleins ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einseins vierviereinsnulleins  Beihilfen aufgrund der Beihilfevorschriften"
3253,1407,7,10,63205,617739.33,Zuweisung zu den Kosten der Kriminologischen Zentralstelle,Bundesministerium der Justiz,071063205,Bundesministerium der Justiz einsnull sechsdreizweinullfünf ,Bundesministerium der Justiz einsnull sechsdreizweinullfünf  Zuweisung zu den Kosten der Kriminologischen Zentralstelle
3255,2016,9,13,52301,616680.66,Wissenschaftliche Sammlungen und Bibliotheken,Bundesministerium für Wirtschaft und Klimaschutz,091352301,Bundesministerium für Wirtschaft und Klimaschutz einsdrei fünfzweidreinulleins ,Bundesministerium für Wirtschaft und Klimaschutz einsdrei fünfzweidreinulleins  Wissenschaftliche Sammlungen und Bibliotheken
3256,3505,12,21,42221,615815.87,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Bundesministerium für Digitales und Verkehr,122142221,Bundesministerium für Digitales und Verkehr zweieins vierzweizweizweieins ,Bundesministerium für Digitales und Verkehr zweieins vierzweizweizweieins  Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten
3257,536,5,1,54441,614559.2,"Forschung, Untersuchungen und Ähnliches",Auswärtiges Amt,050154441,Auswärtiges Amt nulleins fünfviervierviereins ,"Auswärtiges Amt nulleins fünfviervierviereins  Forschung, Untersuchungen und Ähnliches"
3258,3896,15,3,68405,614063.8,Kosten der Einführung einer digitalen Einreiseanmeldung,Bundesministerium für Gesundheit,150368405,Bundesministerium für Gesundheit nulldrei sechsachtviernullfünf ,Bundesministerium für Gesundheit nulldrei sechsachtviernullfünf  Kosten der Einführung einer digitalen Einreiseanmeldung
3259,4053,15,15,54731,613825.86,Nicht aufteilbare sächliche Verwaltungsausgaben,Bundesministerium für Gesundheit,151554731,Bundesministerium für Gesundheit einsfünf fünfviersiebendreieins ,Bundesministerium für Gesundheit einsfünf fünfviersiebendreieins  Nicht aufteilbare sächliche Verwaltungsausgaben
3260,794,6,1,63241,613176.17,Kosten der Bundestagswahlen sowie Kosten der Direktwahl zum Europäischen Parlament,Bundesministerium des Innern und für Heimat,060163241,Bundesministerium des Innern und für Heimat nulleins sechsdreizweiviereins ,Bundesministerium des Innern und für Heimat nulleins sechsdreizweiviereins  Kosten der Bundestagswahlen sowie Kosten der Direktwahl zum Europäischen Parlament
3261,2643,11,5,68403,611200.0,Zuschüsse zur Förderung der sozialen Eingliederung von Menschen mit Behinderungen,Bundesministerium für Arbeit und Soziales,110568403,Bundesministerium für Arbeit und Soziales nullfünf sechsachtviernulldrei ,Bundesministerium für Arbeit und Soziales nullfünf sechsachtviernulldrei  Zuschüsse zur Förderung der sozialen Eingliederung von Menschen mit Behinderungen
3262,775,6,1,68121,610750.0,Maßnahmen zur Verbesserung der Rahmenbedingungen für Athletinnen und Athleten mit Behinderung im Spitzensport,Bundesministerium des Innern und für Heimat,060168121,Bundesministerium des Innern und für Heimat nulleins sechsachteinszweieins ,Bundesministerium des Innern und für Heimat nulleins sechsachteinszweieins  Maßnahmen zur Verbesserung der Rahmenbedingungen für Athletinnen und Athleten mit Behinderung im Spitzensport
3263,2372,10,12,54201,609816.93,Öffentlichkeitsarbeit,Bundesministerium für Ernährung und Landwirtschaft,101254201,Bundesministerium für Ernährung und Landwirtschaft einszwei fünfvierzweinulleins ,Bundesministerium für Ernährung und Landwirtschaft einszwei fünfvierzweinulleins  Öffentlichkeitsarbeit
3264,1978,9,12,51901,609165.71,Unterhaltung der Grundstücke und baulichen Anlagen,Bundesministerium für Wirtschaft und Klimaschutz,091251901,Bundesministerium für Wirtschaft und Klimaschutz einszwei fünfeinsneunnulleins ,Bundesministerium für Wirtschaft und Klimaschutz einszwei fünfeinsneunnulleins  Unterhaltung der Grundstücke und baulichen Anlagen
3265,1495,7,13,81202,606713.08,"Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik",Bundesministerium der Justiz,071381202,Bundesministerium der Justiz einsdrei achteinszweinullzwei ,"Bundesministerium der Justiz einsdrei achteinszweinullzwei  Erwerb von Anlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen sowie Software im Bereich Informationstechnik"
3267,1714,8,12,63601,605947.87,Erstattung der Verwaltungskosten an die Bundesanstalt für Finanzdienstleistungsaufsicht,Bundesministerium der Finanzen,081263601,Bundesministerium der Finanzen einszwei sechsdreisechsnulleins ,Bundesministerium der Finanzen einszwei sechsdreisechsnulleins  Erstattung der Verwaltungskosten an die Bundesanstalt für Finanzdienstleistungsaufsicht
3269,2778,11,13,51111,604836.28,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung",Bundesministerium für Arbeit und Soziales,111351111,Bundesministerium für Arbeit und Soziales einsdrei fünfeinseinseinseins ,"Bundesministerium für Arbeit und Soziales einsdrei fünfeinseinseinseins  Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände, Software, Wartung"
3270,181,3,11,54201,603969.55,Öffentlichkeitsarbeit,Bundesrat,031154201,Bundesrat einseins fünfvierzweinulleins ,Bundesrat einseins fünfvierzweinulleins  Öffentlichkeitsarbeit
3271,4034,15,13,42851,603397.41,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundesministerium für Gesundheit,151342851,Bundesministerium für Gesundheit einsdrei vierzweiachtfünfeins ,Bundesministerium für Gesundheit einsdrei vierzweiachtfünfeins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
3273,1613,7,19,53999,603101.68,Vermischte Verwaltungsausgaben,Bundesministerium der Justiz,071953999,Bundesministerium der Justiz einsneun fünfdreineunneunneun ,Bundesministerium der Justiz einsneun fünfdreineunneunneun  Vermischte Verwaltungsausgaben
3274,1615,7,19,71101,602206.22,"Kleine Neu-, Um- und Erweiterungsbauten",Bundesministerium der Justiz,071971101,Bundesministerium der Justiz einsneun siebeneinseinsnulleins ,"Bundesministerium der Justiz einsneun siebeneinseinsnulleins  Kleine Neu-, Um- und Erweiterungsbauten"
3276,3361,12,18,51901,600063.62,Unterhaltung der Grundstücke und baulichen Anlagen,Bundesministerium für Digitales und Verkehr,121851901,Bundesministerium für Digitales und Verkehr einsacht fünfeinsneunnulleins ,Bundesministerium für Digitales und Verkehr einsacht fünfeinsneunnulleins  Unterhaltung der Grundstücke und baulichen Anlagen
3278,4685,21,11,42401,598037.97,Zuführung an die Versorgungsrücklage,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit,211142401,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit einseins vierzweiviernulleins ,Der Bundesbeauftragte für den Datenschutz und die Informationsfreiheit einseins vierzweiviernulleins  Zuführung an die Versorgungsrücklage
3279,4828,25,1,11999,596218.93,Vermischte Einnahmen,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",250111999,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins einseinsneunneunneun ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen nulleins einseinsneunneunneun  Vermischte Einnahmen"
3281,4374,16,15,52701,593423.29,Dienstreisen,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",161552701,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsfünf fünfzweisiebennulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsfünf fünfzweisiebennulleins  Dienstreisen"
3282,4537,17,13,11999,593094.44,Vermischte Einnahmen,"Bundesministerium für Familie, Senioren, Frauen und Jugend",171311999,"Bundesministerium für Familie, Senioren, Frauen und Jugend einsdrei einseinsneunneunneun ","Bundesministerium für Familie, Senioren, Frauen und Jugend einsdrei einseinsneunneunneun  Vermischte Einnahmen"
3283,164,2,16,42801,592776.36,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Deutscher Bundestag,021642801,Deutscher Bundestag einssechs vierzweiachtnulleins ,Deutscher Bundestag einssechs vierzweiachtnulleins  Entgelte der Arbeitnehmerinnen und Arbeitnehmer
3284,1719,8,12,42101,592472.05,"Bezüge des Bundesministers, der Parlamentarischen Staatssekretärin und des Parlamentarischen Staatssekretärs",Bundesministerium der Finanzen,081242101,Bundesministerium der Finanzen einszwei vierzweieinsnulleins ,"Bundesministerium der Finanzen einszwei vierzweieinsnulleins  Bezüge des Bundesministers, der Parlamentarischen Staatssekretärin und des Parlamentarischen Staatssekretärs"
3286,4327,16,14,11101,591231.12,"Gebühren, sonstige Entgelte","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",161411101,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsvier einseinseinsnulleins ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einsvier einseinseinsnulleins  Gebühren, sonstige Entgelte"
3287,4518,17,12,42101,590368.9,"Bezüge der Bundesministerin, der Parlamentarischen Staatssekretärin und des Parlamentarischen Staatssekretärs","Bundesministerium für Familie, Senioren, Frauen und Jugend",171242101,"Bundesministerium für Familie, Senioren, Frauen und Jugend einszwei vierzweieinsnulleins ","Bundesministerium für Familie, Senioren, Frauen und Jugend einszwei vierzweieinsnulleins  Bezüge der Bundesministerin, der Parlamentarischen Staatssekretärin und des Parlamentarischen Staatssekretärs"
3288,675,5,12,53224,589026.59,Betreuung von Delegationen und internationalen Besuchern im Ausland,Auswärtiges Amt,051253224,Auswärtiges Amt einszwei fünfdreizweizweivier ,Auswärtiges Amt einszwei fünfdreizweizweivier  Betreuung von Delegationen und internationalen Besuchern im Ausland
3289,4962,25,14,52501,588627.83,Aus- und Fortbildung,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251452501,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier fünfzweifünfnulleins ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier fünfzweifünfnulleins  Aus- und Fortbildung"
3291,4266,16,12,98103,588491.65,Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",161298103,"Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einszwei neunachteinsnulldrei ","Bundesministerium für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz einszwei neunachteinsnulldrei  Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7"
3292,2351,10,11,43157,584700.22,"Versorgungsbezüge der Bundesministerin und Bundesminister, der Parlamentarischen Staatssekretäre und deren Hinterbliebenen",Bundesministerium für Ernährung und Landwirtschaft,101143157,Bundesministerium für Ernährung und Landwirtschaft einseins vierdreieinsfünfsieben ,"Bundesministerium für Ernährung und Landwirtschaft einseins vierdreieinsfünfsieben  Versorgungsbezüge der Bundesministerin und Bundesminister, der Parlamentarischen Staatssekretäre und deren Hinterbliebenen"
3293,906,6,11,53103,583944.43,Abgeltung von Ansprüchen nach dem Urheberrecht,Bundesministerium des Innern und für Heimat,061153103,Bundesministerium des Innern und für Heimat einseins fünfdreieinsnulldrei ,Bundesministerium des Innern und für Heimat einseins fünfdreieinsnulldrei  Abgeltung von Ansprüchen nach dem Urheberrecht
3294,4976,25,14,53222,583833.68,Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT),"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",251453222,"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier fünfdreizweizweizwei ","Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen einsvier fünfdreizweizweizwei  Behördenspezifische fachbezogene Verwaltungsausgaben (ohne IT)"
3295,711,5,13,42729,583735.76,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Auswärtiges Amt,051342729,Auswärtiges Amt einsdrei vierzweisiebenzweineun ,"Auswärtiges Amt einsdrei vierzweisiebenzweineun  Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige"
3296,4167,15,17,51901,582920.55,Unterhaltung der Grundstücke und baulichen Anlagen,Bundesministerium für Gesundheit,151751901,Bundesministerium für Gesundheit einssieben fünfeinsneunnulleins ,Bundesministerium für Gesundheit einssieben fünfeinsneunnulleins  Unterhaltung der Grundstücke und baulichen Anlagen
3298,2722,11,12,13201,580502.75,Erlöse aus der Veräußerung von beweglichen Sachen,Bundesministerium für Arbeit und Soziales,111213201,Bundesministerium für Arbeit und Soziales einszwei einsdreizweinulleins ,Bundesministerium für Arbeit und Soziales einszwei einsdreizweinulleins  Erlöse aus der Veräußerung von beweglichen Sachen
